"Time send/recv" Initialise Finalise nfields operation io_nodes servers_per_node client_nodes xios_version
1.3588643660000344 1.3450118849999626 0.7616748430000371 4 read 4 8 16 xios-3
26.6632260170004 1.9949015250003868 0.0166965710000113 32 read 1 8 1 xios-2
0.0141692840002178 0.8802654149999398 1.813567242999852 1 write 8 12 1 xios-3
1.1577370139998493 1.1940144220000093 0.9009358849998534 1 read 1 8 8 xios-3
0.1415293290006047 0.7442236619999676 83.88393391499994 32 write 4 1 8 xios-2
9.71171349999986 1.3301135070000782 0.4161295310000241 32 read 4 8 16 xios-3
0.0651037850007014 1.4381409990000975 31.96898632300008 16 write 1 8 16 xios-2
2.84235839400003 1.074800375999985 0.9323406519999936 1 read 1 1 1 xios-3
1.2828412469989416 1.5832323390000056 79.41461477199982 32 write 4 1 16 xios-2
2.5086005019998083 1.2721876099999463 0.5982473089998166 8 read 4 8 16 xios-3
0.5886755549998952 0.902946433000011 6.320898555999975 32 write 8 8 1 xios-3
0.0015132669999928 0.8476276119999966 7.006718135999989 1 write 8 1 8 xios-2
1.057055963999801 1.0053437470000972 0.9984714220001932 4 read 8 12 1 xios-3
2.41900284500025 1.0650261580003644 0.6312237550000646 8 read 4 12 8 xios-3
0.0036718760002258 0.8107158839998192 4.23860747100025 4 write 4 12 8 xios-2
0.0686105819995646 0.8356321080000271 1.9825066420003168 4 write 4 8 1 xios-3
3.9011484000002383 0.8562331560001439 0.0450023989999408 16 read 8 8 1 xios-2
4.00483609200046 0.9809913439999036 0.0165731810002398 8 read 4 12 1 xios-2
0.0185417600000619 0.8291427310000472 5.6293075869998574 1 write 8 1 1 xios-2
8.149928846999956 2.0137111770000047 0.0816449260000808 4 read 8 1 16 xios-2
0.2932180169991625 0.9332647000001087 16.974110742999983 16 write 1 12 1 xios-3
0.9264390859999594 0.8817794889999959 19.543400304999977 32 write 8 1 1 xios-2
11.1476448359997 0.9529285050000452 0.0102276760001132 8 read 1 8 1 xios-2
1.025990287999775 1.7448586129999055 0.030359159999989 1 read 8 12 16 xios-2
0.005575931000294 1.0513042069997027 2.046838565000144 4 write 4 8 16 xios-3
0.2726756300000943 0.869205337999972 6.530490278000002 16 write 4 8 1 xios-3
2.918362076999756 1.1493905290001294 1.0781536110000616 4 read 4 1 8 xios-3
0.0006863829999019 1.5268741370000498 1.2517635140002312 1 write 8 8 16 xios-2
1.0975088319999031 1.1443455799999356 0.9878991619998488 1 read 4 1 8 xios-3
62.38330646400027 2.1102324890000546 0.1389010130001224 8 read 1 1 16 xios-2
0.0451294769998185 1.011116255999923 34.71696679299998 32 write 1 12 8 xios-3
6.881258381999999 1.1395204439999702 0.0268132809999883 32 read 8 12 8 xios-2
0.0055027120000659 1.842189904999941 39.28837048600008 8 write 4 1 16 xios-2
0.0064253370005644 1.0056556270001238 10.404195124000124 8 write 8 1 8 xios-2
0.4500927570001067 0.9275091559999852 7.583479003000036 16 write 4 8 1 xios-2
9.768133159999934 1.0146359420000408 0.0362628209998092 8 read 1 12 8 xios-2
3.079011957001057 1.1730520490000345 1.0100176599999031 8 read 8 1 16 xios-3
0.0995425690002775 0.7347657010000148 5.922937808000029 32 write 8 12 8 xios-2
26.22617747600043 1.126959161999821 0.0515468700000383 32 read 1 12 8 xios-2
0.2121316779999773 0.8520934910000051 56.90472603699999 8 write 1 1 1 xios-2
0.0035541199999897 1.2049677089999022 2.2470477570000185 8 write 8 12 16 xios-2
0.956958412000006 0.9158585289999904 5.770592208999972 32 write 8 12 1 xios-2
6.692620967999801 0.9851030990000708 0.0260920519999672 16 read 4 12 8 xios-2
0.0065509220000876 0.8848389559998395 5.293946100000085 8 write 4 12 8 xios-2
1.0321052060000966 1.3437105920002068 1.0757335410000906 1 read 1 8 16 xios-3
0.2912488420010959 0.6494977150000523 43.24660945100004 32 write 1 12 8 xios-2
0.0094980000008035 1.0980737200002295 12.057976336000138 8 write 1 8 16 xios-3
0.0013683160000255 0.775167668999984 3.056827027000054 1 write 4 12 8 xios-2
0.0053520689998549 0.9361375240000598 4.0705768380003065 1 write 1 1 8 xios-3
11.402614483996786 1.1516611350002677 0.0392224040001565 32 read 4 8 8 xios-2
0.0073102799997286 1.142191609999827 9.07599492700001 8 write 1 12 16 xios-3
0.012420132000102 1.1893032330000324 10.672270357000002 8 write 4 1 16 xios-3
6.797046567999871 1.891565340999989 0.0235942539999882 16 read 4 12 16 xios-2
11.17548170800046 1.961968149000313 0.0384797759998036 32 read 4 8 16 xios-2
0.4863357639999321 1.3244229199999609 0.6559500950002075 1 read 4 8 16 xios-3
3.059053320999851 1.2884916299999531 1.047681015999956 4 read 1 8 16 xios-3
0.2720019359996968 0.974977097999954 4.775273452999954 16 write 8 1 1 xios-3
0.0234750749998511 1.2181619220000357 45.06573828299997 32 write 1 8 16 xios-3
0.0063863190000006 1.011024324999994 1.0774782940000025 1 write 8 8 8 xios-3
0.0053979089993845 1.069205785000122 17.12819698000021 8 write 1 1 16 xios-3
0.0008075330001702 1.4725022520001405 2.344094228999893 1 write 4 8 16 xios-2
7.473233445000062 1.135533061000018 0.6076238120000141 32 read 8 12 1 xios-3
43.72069468299969 1.2643895490000432 0.052641302999973 16 read 4 1 8 xios-2
2.424440107000919 1.043788374000087 0.6337825200002953 8 read 4 12 1 xios-3
3.731253205000258 1.1337866759999995 0.0274964799998542 16 read 8 12 8 xios-2
0.0058689000002232 1.0999442069996803 2.0555895400002555 4 write 4 8 16 xios-3
0.0063182730000335 1.3502964580000023 3.3498960949999628 16 write 8 12 16 xios-2
9.970318158001191 1.9155585810003688 0.0162279870000929 32 read 4 8 1 xios-2
0.0053882600000179 1.0434936000001471 1.0769549700003154 4 write 8 8 8 xios-3
0.0076949859999331 1.0080402070002492 1.0562758579999354 4 write 8 12 8 xios-3
0.0062663350004186 0.9933598949996848 2.219264328999998 8 write 8 8 8 xios-2
0.0021085389998916 1.0225489650001691 2.0739211350000915 1 write 1 8 8 xios-3
0.0037965789999816 1.770623849999993 9.989892687000063 8 write 8 1 16 xios-2
4.052506035000079 1.8186762579998683 0.0489534200000889 8 read 4 8 16 xios-2
0.1317533270000694 0.8648716210000202 9.914579439999898 8 write 4 1 1 xios-3
3.755766135000158 0.9247371930000554 0.0331618970003546 8 read 4 8 1 xios-2
0.5718164949997799 0.9081648129999847 34.261537621 32 write 1 12 1 xios-3
0.0113251799996305 0.937912143999938 3.068685404000007 8 write 4 12 8 xios-3
0.1668240730000434 1.2285669110001436 13.985169909999968 32 write 4 8 16 xios-2
0.0108475419997375 1.04534578699986 6.078376209999988 4 write 4 1 8 xios-3
0.5698713009998073 0.9058311919999368 51.73076952099996 32 write 1 1 1 xios-3
0.2780205290001163 0.8604000079999992 19.518600913 16 write 4 1 1 xios-3
